����_A
t	y	x
32.7	148.80912669373538	282.4952345313404
32.8	165.46753000890476	276.3564301496942
32.9	176.12429463273872	271.36116808739
33.0	192.64888294991215	284.26393637443056
33.1	173.27510917030568	264.57059679767104
33.2	167.68558951965065	260.84425036390104
33.3	150.9170305676856	270.16011644832605
33.4	141.60116448326056	279.47598253275106
33.5	113.65356622998547	283.20232896652107
33.6	93.15866084425039	292.5181950509461
33.7	70.80058224163031	307.4235807860262
33.8	31.67394468704515	309.2867540029112
33.9	3.7263464337700043	316.7394468704511
34.0	-23.037099075282754	315.1430957324074
34.1	-50.99858580807222	324.8164743549283
34.2	-80.21339813313944	325.3090204964538
34.3	-105.1262874326685	322.16862723195123
34.4	-129.85982286009107	318.6559370417695
34.5	-149.11890714839626	313.54491443936314
34.6	-176.64904818821242	298.0345964887427
34.7	-188.18049490538567	290.65502183406096
34.8	-186.31732168850067	294.3813682678311
34.9	-188.18049490538567	286.92867540029107
35.0	-190.04366812227067	292.5181950509461
35.1	-186.31732168850067	288.7918486171761
35.2	-175.13828238719066	290.6550218340611
35.3	-167.68558951965053	290.6550218340611
35.4	-158.36972343522564	298.1077147016011
35.5	-132.2852983988355	303.6972343522562
35.6	-115.51673944687047	313.0131004366812
35.7	-100.61135371179034	316.7394468704512
35.8	-78.25327510917032	316.7394468704512
35.9	-35.400291120815154	318.6026200873362
36.0	-11.179039301310013	318.6026200873362
36.1	26.084425036390144	316.7394468704512
36.2	33.53711790393015	311.1499272197962
36.3	89.43231441048039	294.3813682678311
36.4	115.51673944687047	288.7918486171761
36.5	124.83260553129548	288.7918486171761
36.6	143.46433770014556	275.74963609898106
36.7	169.54876273653565	266.43377001455605
36.8	175.1382823871907	266.43377001455605
36.9	180.72780203784572	264.57059679767104
37.0	177.00145560407572	268.29694323144105
37.1	166.92058617503017	272.07154480377864
37.2	152.50432035181348	278.0485612343069
37.3	134.45117037618144	285.4076967606689
37.4	112.4092005568603	293.3049483576502
37.5	87.02803881158678	300.48550009158504
37.6	54.948303340835196	306.25477105722877
37.7	24.875008011273962	311.24338811341164
37.8	-4.56644343072719	314.2514406949045
37.9	-32.739643391779964	315.5446150219653
38.0	-63.675647922431835	314.94275197345274
38.1	-89.36611100931202	312.64736093797416
38.2	-114.90546700669984	308.8936350255306
38.3	-134.91047690720825	304.36029069928105
38.4	-153.0867346662335	299.43544870532156
38.5	-166.45785365052552	294.5522308718187
38.6	-175.80909742059862	290.151338351745
38.7	-182.39852557966287	287.4894805201371
38.8	-184.64147025416855	286.0272551078961
38.9	-183.53465086954634	286.3706471477463
39.0	-178.05402790492508	288.4483993122322
39.1	-168.03561675931155	292.1035274934266
39.2	-155.13673086365452	296.33884748657334
39.3	-138.3579528713767	301.29301683316163
39.4	-118.25219183794457	306.1942868677318
39.5	-94.96175757972435	310.3908691148268
39.6	-68.85769990570452	313.32497790701524
39.7	-40.66439204083963	314.77421347766705
39.8	-10.776970903710435	313.78446126480713
39.9	10.767586176143368	320.12022520307625
40.0	39.20229756510548	315.37749752168617
40.1	68.24961955594506	309.17414935687935
40.2	97.65717339705401	301.35014305474004
40.3	123.72707683562027	293.37105766077224
40.4	145.81472193512326	285.34756989999227
40.5	164.85757564956373	277.5567036530903
40.6	180.2589285011722	271.2517886603029
40.7	189.18294572384843	267.0419933698899
40.8	193.18894301301526	265.32550530610496
40.9	188.03887967653958	267.2294967812615
41.0	179.71279039963463	271.0554789876516
41.1	164.96661361186392	277.2774097367989
41.2	145.40543493258093	285.03752684787827
41.3	121.04912291676118	293.31210321995985
41.4	94.10059072984433	301.67312827261657
41.5	64.47826921126006	308.49226507655084
41.6	33.59847596619301	314.14773624818025
41.7	3.674645692434922	317.4020863834757
41.8	-26.139999633081118	318.5102118725578
41.9	-54.18279797225574	317.50890141515714
42.0	-80.40310713600928	314.69340420895077
42.1	-103.22226324528657	310.640073822444
42.2	-121.20342447814852	306.23866726518617
42.3	-137.12820710239907	301.26329225478565
42.4	-150.09406140013266	296.51162505406563
42.5	-157.92757062461192	292.8930316539532
42.6	-162.80968622061914	290.45728702499997
42.7	-164.51968479540665	289.6527160952074
42.8	-163.01719552460168	290.4218026119748
42.9	-158.09598879801047	292.89651768011305
43.0	-149.70363354113692	295.2897170448119
43.1	-137.92394773520914	299.10281101870333
43.2	-123.45555599618297	311.4869104036391
43.3	-104.0882797188176	320.2590258558426
43.4	-83.99198219456389	323.158824990175
43.5	-59.70042786335421	319.927086506189
